study	time	status	caf	caf_sd	px	px_sd	px_caf	px_caf_sd
Akinyinka2000	0.0	control	0.0		0.006			
Akinyinka2000	0.2	control	5.315		0.183	0.09	0.034	
Akinyinka2000	0.4	control	4.64		0.2	0.081	0.043	
Akinyinka2000	0.7	control	5.377999999999999		0.284	0.09300000000000001	0.053	
Akinyinka2000	1.0	control	4.724	0.7909999999999999	0.479	0.183	0.10099999999999999	0.042
Akinyinka2000	2.0	control	4.377	0.675	0.667	0.218	0.153	0.055
Akinyinka2000	3.0	control	3.28	0.44299999999999995	0.687	0.22699999999999998	0.21	0.075
Akinyinka2000	4.0	control	3.734	0.517	0.998	0.322	0.267	0.094
Akinyinka2000	6.0	control	3.07	0.58	1.0759999999999998	0.221	0.35	0.098
Akinyinka2000	8.0	control	2.459	0.517	1.032	0.256	0.42	0.136
Akinyinka2000	12.0	control	1.743	0.45299999999999996	1.004	0.18899999999999997	0.5760000000000001	0.185
Akinyinka2000	24.0	control	0.6920000000000001	0.27399999999999997	0.466	0.18	0.674	0.373
Akinyinka2000	36.0	control	0.34700000000000003	0.16899999999999998	0.23600000000000002	0.113	0.682	0.465
