study	n	time	ffa	ffa_se	ffa_sd	glycerol	glycerol_se	glycerol_sd	caf	caf_se	caf_sd	px	px_se	px_sd	px_caf	px_caf_sd
Hetzler 1990	10	0.0	0.47	0.02	0.063	0.13	0.01	0.032	0.06	0.05	0.158	0.08	0.07	0.221		
Hetzler 1990	10	0.08333333333333333	0.42	0.03	0.095	0.13	0.02	0.063	8.72	1.23	3.89	0.24	0.07	0.221	0.027999999999999997	0.027999999999999997
Hetzler 1990	10	0.25	0.43	0.04	0.126	0.15	0.01	0.032	5.67	0.29	0.917	0.43	0.09	0.285	0.076	0.052000000000000005
Hetzler 1990	10	0.5	0.57	0.07	0.221	0.16	0.02	0.063	5.3	0.4	1.265	0.6	0.09	0.285	0.113	0.06
Hetzler 1990	10	0.75	0.64	0.04	0.126	0.15	0.01	0.032	4.66	0.2	0.632	0.68	0.07	0.221	0.146	0.051
Hetzler 1990	10	1.0	0.64	0.04	0.126	0.16	0.01	0.032	4.34	0.2	0.632	0.71	0.07	0.221	0.16399999999999998	0.055999999999999994
Hetzler 1990	10	1.5	0.65	0.03	0.095	0.16	0.01	0.032	3.82	0.2	0.632	0.86	0.09	0.285	0.225	0.083
Hetzler 1990	10	2.0	0.66	0.03	0.095	0.17	0.01	0.032	3.37	0.17	0.5379999999999999	1.01	0.06	0.19	0.3	0.07400000000000001
Hetzler 1990	10	2.5	0.72	0.03	0.095	0.15	0.01	0.032	3.32	0.22	0.696	1.05	0.05	0.158	0.316	0.08199999999999999
Hetzler 1990	10	3.0	0.71	0.06	0.19	0.14	0.01	0.032	3.03	0.18	0.569	1.15	0.08	0.253	0.38	0.11
