study	time	subjects	cafng	cafng_pm_se	cafng_se	caf	caf_sd	caf_se	pxng	pxng_pm_se	pxng_se	px	px_sd	px_se	px_caf	px_caf_sd	px_caf_se
Oh2012	0.0	13	0.0			0.0			1.99	10.87	8.88	0.002	0.032	0.009000000000000001			
Oh2012	0.25	13	141.91	229.96	88.05	0.142	0.317	0.08800000000000001	11.53	24.51	12.97	0.012	0.047	0.013000000000000001	0.081	0.376	0.10400000000000001
Oh2012	0.5	13	296.84	362.37	65.53	0.297	0.23600000000000002	0.066	30.64	44.97	14.33	0.031	0.052000000000000005	0.013999999999999999	0.10300000000000001	0.193	0.053
Oh2012	0.75	13	270.21	324.81	54.61	0.27	0.19699999999999998	0.055	34.72	47.0	12.28	0.035	0.044000000000000004	0.012	0.128	0.18899999999999997	0.052000000000000005
Oh2012	1.0	13	234.02	283.16	49.15	0.23399999999999999	0.177	0.049	32.65	42.2	9.55	0.033	0.034	0.01	0.14	0.18100000000000002	0.05
Oh2012	1.5	13	210.78	258.56	47.78	0.21100000000000002	0.172	0.048	35.35	45.59	10.24	0.035	0.037000000000000005	0.01	0.168	0.222	0.062
Oh2012	2.0	13	193.0	236.69	43.69	0.193	0.158	0.044000000000000004	36.69	47.61	10.92	0.037000000000000005	0.039	0.011000000000000001	0.19	0.256	0.071
Oh2012	3.0	13	169.06	211.38	42.32	0.16899999999999998	0.153	0.042	42.09	50.97	8.87	0.042	0.032	0.009000000000000001	0.249	0.294	0.081
Oh2012	4.0	13	152.62	199.71	47.1	0.153	0.17	0.047	44.77	52.96	8.19	0.045	0.03	0.008	0.293	0.379	0.105
Oh2012	5.0	13	139.59	183.28	43.68	0.14	0.158	0.044000000000000004	47.44	57.68	10.24	0.047	0.037000000000000005	0.01	0.34	0.466	0.129
Oh2012	6.0	13	124.52	166.84	42.32	0.125	0.153	0.042	50.8	61.04	10.24	0.051	0.037000000000000005	0.01	0.408	0.581	0.161
Oh2012	8.0	13	103.24	144.2	40.96	0.10300000000000001	0.14800000000000002	0.040999999999999995	50.68	61.6	10.92	0.051	0.039	0.011000000000000001	0.491	0.799	0.222
Oh2012	10.0	13	80.6	118.14	37.54	0.081	0.135	0.038	47.84	60.12	12.28	0.048	0.044000000000000004	0.012	0.594	1.138	0.316
Oh2012	12.0	13	64.11	96.19	32.08	0.064	0.11599999999999999	0.032	44.31	56.6	12.29	0.044000000000000004	0.044000000000000004	0.012	0.691	1.426	0.395
